transcript_id	gene_id
ENST00000643195	ENSG00000130538
ENST00000343518	ENSG00000198062
ENST00000452800	ENSG00000198062
ENST00000359963	ENSG00000198445
ENST00000331428	ENSG00000172967
ENST00000684488	ENSG00000172967
ENST00000400588	ENSG00000215568
ENST00000651146	ENSG00000215568
ENST00000465611	ENSG00000215568
ENST00000643316	ENSG00000215568
ENST00000520505	ENSG00000215568
ENST00000523144	ENSG00000215568
ENST00000477874	ENSG00000177663
ENST00000694948	ENSG00000177663
ENST00000694949	ENSG00000177663
ENST00000319363	ENSG00000177663
ENST00000694950	ENSG00000177663
ENST00000459971	ENSG00000177663
ENST00000612619	ENSG00000177663
ENST00000694951	ENSG00000177663
ENST00000331437	ENSG00000183307
ENST00000399875	ENSG00000183307
ENST00000155674	ENSG00000069998
ENST00000336737	ENSG00000069998
ENST00000477157	ENSG00000069998
ENST00000399852	ENSG00000069998
ENST00000486462	ENSG00000069998
ENST00000463033	ENSG00000069998
ENST00000480451	ENSG00000069998
ENST00000696220	ENSG00000093072
ENST00000696221	ENSG00000093072
ENST00000696222	ENSG00000093072
ENST00000696223	ENSG00000093072
ENST00000696224	ENSG00000093072
ENST00000399837	ENSG00000093072
ENST00000610390	ENSG00000093072
ENST00000696196	ENSG00000093072
ENST00000696225	ENSG00000093072
ENST00000696197	ENSG00000093072
ENST00000649310	ENSG00000093072
ENST00000649746	ENSG00000093072
ENST00000469063	ENSG00000093072
ENST00000330232	ENSG00000093072
ENST00000543038	ENSG00000093072
ENST00000399839	ENSG00000093072
ENST00000449907	ENSG00000093072
ENST00000262607	ENSG00000093072
ENST00000696218	ENSG00000093072
ENST00000648061	ENSG00000093072
ENST00000648668	ENSG00000093072
ENST00000649540	ENSG00000093072
ENST00000649915	ENSG00000093072
ENST00000696189	ENSG00000093072
ENST00000480276	ENSG00000093072
ENST00000696198	ENSG00000093072
ENST00000650635	ENSG00000093072
ENST00000648343	ENSG00000093072
ENST00000696226	ENSG00000093072
ENST00000696227	ENSG00000093072
ENST00000400585	ENSG00000099954
ENST00000262608	ENSG00000099954
ENST00000342247	ENSG00000099954
ENST00000497534	ENSG00000099954
ENST00000612582	ENSG00000099954
ENST00000355219	ENSG00000099954
ENST00000399813	ENSG00000182902
ENST00000496051	ENSG00000182902
ENST00000327451	ENSG00000182902
ENST00000467228	ENSG00000182902
ENST00000497401	ENSG00000182902
ENST00000469889	ENSG00000182902
ENST00000253413	ENSG00000131100
ENST00000399796	ENSG00000131100
ENST00000399798	ENSG00000131100
ENST00000473248	ENSG00000131100
ENST00000413576	ENSG00000131100
ENST00000481365	ENSG00000131100
ENST00000484653	ENSG00000131100
ENST00000478963	ENSG00000131100
ENST00000460085	ENSG00000131100
ENST00000399781	ENSG00000099968
ENST00000399782	ENSG00000099968
ENST00000337612	ENSG00000099968
ENST00000399777	ENSG00000099968
ENST00000538149	ENSG00000099968
ENST00000616863	ENSG00000099968
ENST00000618481	ENSG00000099968
ENST00000611738	ENSG00000099968
ENST00000498133	ENSG00000099968
ENST00000464649	ENSG00000099968
ENST00000317582	ENSG00000099968
ENST00000493680	ENSG00000099968
ENST00000355028	ENSG00000099968
ENST00000479296	ENSG00000099968
ENST00000485631	ENSG00000099968
ENST00000317361	ENSG00000015475
ENST00000622694	ENSG00000015475
ENST00000614949	ENSG00000015475
ENST00000399765	ENSG00000015475
ENST00000494097	ENSG00000015475
ENST00000399767	ENSG00000015475
ENST00000342111	ENSG00000015475
ENST00000550946	ENSG00000015475
ENST00000551952	ENSG00000015475
ENST00000473439	ENSG00000015475
ENST00000552886	ENSG00000015475
ENST00000441493	ENSG00000243156
ENST00000672019	ENSG00000243156
ENST00000252134	ENSG00000243156
ENST00000580469	ENSG00000243156
ENST00000577821	ENSG00000243156
ENST00000579997	ENSG00000243156
ENST00000584751	ENSG00000243156
ENST00000498573	ENSG00000243156
ENST00000578984	ENSG00000243156
ENST00000400561	ENSG00000243156
ENST00000495076	ENSG00000243156
ENST00000578905	ENSG00000243156
ENST00000414725	ENSG00000243156
ENST00000383094	ENSG00000243156
ENST00000461307	ENSG00000243156
ENST00000585038	ENSG00000243156
ENST00000462645	ENSG00000243156
ENST00000465886	ENSG00000243156
ENST00000498345	ENSG00000243156
ENST00000424046	ENSG00000243156
ENST00000329627	ENSG00000215193
ENST00000399744	ENSG00000215193
ENST00000428061	ENSG00000215193
ENST00000474897	ENSG00000288683
ENST00000679963	ENSG00000183785
ENST00000680175	ENSG00000183785
ENST00000426208	ENSG00000183785
ENST00000316027	ENSG00000183785
ENST00000330423	ENSG00000183785
ENST00000416740	ENSG00000183785
ENST00000679481	ENSG00000183785
ENST00000608634	ENSG00000183785
ENST00000699060	ENSG00000184979
ENST00000715585	ENSG00000184979
ENST00000215794	ENSG00000184979
ENST00000699061	ENSG00000184979
ENST00000699062	ENSG00000184979
ENST00000619998	ENSG00000274252
ENST00000614395	ENSG00000278558
ENST00000612978	ENSG00000278558
ENST00000613577	ENSG00000278558
ENST00000620199	ENSG00000278558
ENST00000621725	ENSG00000278558
ENST00000618859	ENSG00000278558
ENST00000619918	ENSG00000275793
ENST00000652395	ENSG00000286175
ENST00000413981	ENSG00000183628
ENST00000331444	ENSG00000183628
ENST00000483718	ENSG00000183628
ENST00000427407	ENSG00000183628
ENST00000608842	ENSG00000183628
ENST00000480608	ENSG00000183628
ENST00000477156	ENSG00000183628
ENST00000436645	ENSG00000183628
ENST00000638240	ENSG00000283809
ENST00000610940	ENSG00000100033
ENST00000357068	ENSG00000100033
ENST00000491604	ENSG00000100033
ENST00000420436	ENSG00000100033
ENST00000313755	ENSG00000100033
